materials  IE_A  IE_B  X_A  X_B  xA  xB  Vcell_over_Vatom
ThH2                  6.08300  13.59000  1.30000  2.20000  0.33300  0.66700  0.87154
TiH2                  6.82700  13.59000  1.54000  2.20000  0.33300  0.66700  0.80775
ZrH2                  6.63400  13.59000  1.33000  2.20000  0.33300  0.66700  0.82692
AlAs                  5.98500  9.81400  1.61000  2.18000  0.50000  0.50000  0.31925
AlP                   5.98500  10.48000  1.61000  2.19000  0.50000  0.50000  0.30728
AlSb                  5.98500  8.64300  1.61000  2.05000  0.50000  0.50000  0.32901
GaAs                  5.99800  9.81400  1.81000  2.18000  0.50000  0.50000  0.32523
InAs                  5.78600  9.81400  1.78000  2.18000  0.50000  0.50000  0.34330
BP                    8.29700  10.48000  2.04000  2.19000  0.50000  0.50000  0.32590
BeS                   9.32200  10.36000  1.57000  2.58000  0.50000  0.50000  0.29756
BeSe                  9.32200  9.75200  1.57000  2.55000  0.50000  0.50000  0.32087
BeTe                  9.32200  9.00900  1.57000  2.10000  0.50000  0.50000  0.33035
CuBr                  7.72600  11.81000  1.90000  2.96000  0.50000  0.50000  0.36809
CdPo                  8.99400  8.41600  1.69000  2.00000  0.50000  0.50000  0.32426
CdTe                  8.99400  9.00900  1.69000  2.10000  0.50000  0.50000  0.34522
CuF                   7.72600  17.42000  1.90000  3.98000  0.50000  0.50000  0.54051
GaP                   5.99800  10.48000  1.81000  2.19000  0.50000  0.50000  0.31474
GaSb                  5.99800  8.64300  1.81000  2.05000  0.50000  0.50000  0.33310
HgSe                  10.43000  9.75200  2.00000  2.55000  0.50000  0.50000  0.29954
HgTe                  10.43000  9.00900  2.00000  2.10000  0.50000  0.50000  0.30629
MgTe                  7.64500  9.00900  1.31000  2.10000  0.50000  0.50000  0.32879
ZnPo                  9.39400  8.41600  1.65000  2.00000  0.50000  0.50000  0.30424
ZnS                   9.39400  10.36000  1.65000  2.58000  0.50000  0.50000  0.31640
Al2O3                 5.98500  13.61000  1.61000  3.44000  0.40000  0.60000  0.43407
Lu2S3                 5.42500  10.36000  1.27000  2.58000  0.40000  0.60000  0.58596
Rh2O3                 7.45900  13.61000  2.28000  3.44000  0.40000  0.60000  0.52538
Yb2S3                 6.25300  10.36000  1.25000  2.58000  0.40000  0.60000  0.59238
Ce2O3                 5.53800  13.61000  1.12000  3.44000  0.40000  0.60000  0.94100
La2O3                 5.57700  13.61000  1.10000  3.44000  0.40000  0.60000  0.94563
Nd2O3                 5.52500  13.61000  1.14000  3.44000  0.40000  0.60000  0.94020
AgBr                  7.57600  11.81000  1.93000  2.96000  0.50000  0.50000  0.39407
AgCl                  7.57600  12.96000  1.93000  3.16000  0.50000  0.50000  0.40280
AgF                   7.57600  17.42000  1.93000  3.98000  0.50000  0.50000  0.45496
BaO                   5.21200  13.61000  0.89000  3.44000  0.50000  0.50000  1.00766
BaS                   5.21200  10.36000  0.89000  2.58000  0.50000  0.50000  0.71322
BaSe                  5.21200  9.75200  0.89000  2.55000  0.50000  0.50000  0.67990
BaTe                  5.21200  9.00900  0.89000  2.10000  0.50000  0.50000  0.61229
KBr                   4.34000  11.81000  0.82000  2.96000  0.50000  0.50000  0.58772
LiBr                  5.39100  11.81000  0.98000  2.96000  0.50000  0.50000  0.38733
NaBr                  5.13800  11.81000  0.93000  2.96000  0.50000  0.50000  0.51000
RbBr                  4.17600  11.81000  0.82000  2.96000  0.50000  0.50000  0.64910
CaS                   6.11200  10.36000  1.00000  2.58000  0.50000  0.50000  0.63060
CaSe                  6.11200  9.75200  1.00000  2.55000  0.50000  0.50000  0.58217
CaTe                  6.11200  9.00900  1.00000  2.10000  0.50000  0.50000  0.59645
CdO                   8.99400  13.61000  1.69000  3.44000  0.50000  0.50000  0.52963
CsF                   3.89300  17.42000  0.79000  3.98000  0.50000  0.50000  1.14012
CsH                   3.89300  13.59000  0.79000  2.20000  0.50000  0.50000  0.94091
LiF                   5.39100  17.42000  0.98000  3.98000  0.50000  0.50000  0.58865
NaF                   5.13800  17.42000  0.93000  3.98000  0.50000  0.50000  0.73943
RbF                   4.17600  17.42000  0.82000  3.98000  0.50000  0.50000  0.96479
KH                    4.34000  13.59000  0.82000  2.20000  0.50000  0.50000  0.75953
